date,open,high,low,close,tickvol,vol,spread
2023.01.02,0.68075,0.68190,0.67880,0.68007,9774,0,0
2023.01.03,0.68007,0.68347,0.66880,0.67259,112558,0,0
2023.01.04,0.67255,0.68865,0.67166,0.68374,118591,0,1
2023.01.05,0.68347,0.68452,0.67352,0.67507,116507,0,1
2023.01.06,0.67495,0.68867,0.67223,0.68755,122641,0,0
2023.01.09,0.68773,0.69499,0.68739,0.69125,108123,0,1
2023.01.10,0.69111,0.69279,0.68598,0.68914,111311,0,1
2023.01.11,0.68855,0.69256,0.68730,0.69053,90596,0,0
2023.01.12,0.68957,0.69846,0.68766,0.69668,130630,0,0
2023.01.13,0.69622,0.69941,0.69153,0.69747,107932,0,0
2023.01.16,0.69669,0.70191,0.69408,0.69543,71539,0,0
2023.01.17,0.69519,0.69973,0.69297,0.69864,98639,0,0
2023.01.18,0.69849,0.70635,0.69355,0.69406,134329,0,0
2023.01.19,0.69394,0.69480,0.68720,0.69094,96698,0,1
2023.01.20,0.69083,0.69736,0.69053,0.69677,84272,0,0
2023.01.23,0.69593,0.70399,0.69567,0.70278,90910,0,0
2023.01.24,0.70258,0.70581,0.69934,0.70449,89697,0,0
2023.01.25,0.70455,0.71229,0.70235,0.71031,100598,0,1
2023.01.26,0.71014,0.71424,0.70793,0.71141,92759,0,0
2023.01.27,0.71098,0.71296,0.70824,0.71082,80084,0,1
2023.01.30,0.70980,0.71203,0.70511,0.70593,83918,0,1
2023.01.31,0.70557,0.70649,0.69838,0.70537,96037,0,1
2023.02.01,0.70531,0.71446,0.70365,0.71363,102658,0,0
2023.02.02,0.71295,0.71577,0.70687,0.70763,120133,0,0
2023.02.03,0.70736,0.70799,0.69190,0.69217,132885,0,1
2023.02.06,0.68923,0.69486,0.68556,0.68827,115257,0,1
2023.02.07,0.68803,0.69883,0.68760,0.69590,137729,0,0
2023.02.08,0.69543,0.69964,0.69188,0.69228,110048,0,0
2023.02.09,0.69188,0.70113,0.69187,0.69359,101641,0,0
2023.02.10,0.69315,0.69602,0.69091,0.69195,120343,0,1
2023.02.13,0.69160,0.69736,0.68903,0.69651,99717,0,0
2023.02.14,0.69641,0.70294,0.69215,0.69865,148928,0,0
