date,open,high,low,close
12-29-2023,"101.20","101.42","101.07","101.33"
12-28-2023,"100.87","101.30","100.62","101.23"
12-27-2023,"101.55","101.57","100.83","100.99"
12-26-2023,"101.65","101.77","101.44","101.47"
12-22-2023,"101.76","101.90","101.43","101.71"
12-21-2023,"102.39","102.45","101.74","101.84"
12-20-2023,"102.19","102.54","102.16","102.41"
12-19-2023,"102.47","102.63","102.07","102.17"
12-18-2023,"102.59","102.63","102.38","102.56"
12-15-2023,"102.10","102.64","101.84","102.55"
12-14-2023,"102.78","102.80","101.77","101.96"
12-13-2023,"103.82","104.03","102.78","102.87"
12-12-2023,"104.03","104.10","103.49","103.87"
12-11-2023,"103.98","104.26","103.93","104.10"
12-08-2023,"103.64","104.26","103.44","104.01"
12-07-2023,"104.11","104.20","103.27","103.54"
12-06-2023,"103.99","104.23","103.87","104.15"
12-05-2023,"103.56","104.09","103.55","104.05"
12-04-2023,"103.18","103.85","103.06","103.71"
12-01-2023,"103.36","103.72","103.12","103.27"
11-30-2023,"102.83","103.59","102.72","103.50"
11-29-2023,"102.65","103.01","102.47","102.77"
11-28-2023,"103.13","103.32","102.61","102.75"
11-27-2023,"103.40","103.53","103.19","103.20"
11-24-2023,"103.75","103.84","103.36","103.40"
11-23-2023,"103.86","103.88","103.54","103.92"
11-22-2023,"103.55","104.21","103.48","103.92"
11-21-2023,"103.47","103.71","103.18","103.57"
11-20-2023,"103.82","103.97","103.38","103.44"
11-17-2023,"104.40","104.55","103.81","103.92"
11-16-2023,"104.36","104.56","104.01","104.35"
11-15-2023,"104.22","104.51","103.98","104.39"
11-14-2023,"105.65","105.73","103.99","104.05"
11-13-2023,"105.80","105.96","105.59","105.63"
11-10-2023,"105.93","106.01","105.74","105.86"
11-09-2023,"105.53","105.97","105.38","105.91"
11-08-2023,"105.54","105.87","105.45","105.59"
11-07-2023,"105.27","105.78","105.27","105.54"
11-06-2023,"105.09","105.29","104.85","105.22"
11-03-2023,"106.20","106.22","104.94","105.02"
11-02-2023,"106.50","106.51","105.81","106.12"
11-01-2023,"106.67","107.11","106.61","106.88"
10-31-2023,"106.16","106.86","105.91","106.66"
10-30-2023,"106.58","106.70","106.06","106.12"
10-27-2023,"106.59","106.80","106.32","106.56"
10-26-2023,"106.58","106.89","106.53","106.60"
10-25-2023,"106.25","106.57","106.14","106.53"
10-24-2023,"105.61","106.32","105.36","106.27"
10-23-2023,"106.16","106.33","105.52","105.54"
10-20-2023,"106.26","106.42","106.07","106.16"
10-19-2023,"106.54","106.67","105.98","106.25"
10-18-2023,"106.22","106.64","106.01","106.57"
10-17-2023,"106.26","106.53","106.02","106.25"
10-16-2023,"106.58","106.65","106.18","106.65"
10-13-2023,"106.52","106.79","106.29","106.65"
10-12-2023,"105.67","106.60","105.54","106.60"
10-11-2023,"105.73","106.01","105.56","105.82"
10-10-2023,"106.03","106.25","105.66","105.83"
10-09-2023,"106.10","106.60","106.02","106.08"
10-06-2023,"106.36","106.97","105.95","106.04"
10-05-2023,"106.77","106.86","106.32","106.33"
10-04-2023,"107.06","107.24","106.51","106.80"
10-03-2023,"107.03","107.35","106.91","107.00"
10-02-2023,"106.17","107.03","106.04","106.90"
09-29-2023,"106.15","106.24","105.66","106.22"
09-28-2023,"106.68","106.76","106.02","106.22"
09-27-2023,"106.22","106.84","106.17","106.67"
09-26-2023,"105.94","106.26","105.86","106.23"
09-25-2023,"105.57","106.10","105.52","106.00"
09-22-2023,"105.38","105.78","105.32","105.58"
09-21-2023,"105.44","105.74","105.28","105.36"
09-20-2023,"105.11","105.44","104.67","105.20"
09-19-2023,"105.08","105.21","104.82","105.20"
09-18-2023,"105.30","105.36","105.02","105.20"
09-15-2023,"105.38","105.41","105.08","105.32"
09-14-2023,"104.74","105.44","104.56","105.41"
09-13-2023,"104.58","104.97","104.51","104.77"
09-12-2023,"104.56","104.92","104.46","104.71"
09-11-2023,"105.06","104.94","104.42","104.57"
09-08-2023,"105.06","105.10","104.66","105.09"
09-07-2023,"104.86","105.16","104.80","105.06"
09-06-2023,"104.75","105.02","104.59","104.86"
09-05-2023,"104.13","104.91","104.11","104.81"
09-04-2023,"104.26","104.27","104.03","104.11"
09-01-2023,"103.62","104.29","103.27","104.24"
08-31-2023,"103.10","103.74","103.01","103.62"
08-30-2023,"103.44","103.70","102.94","103.16"
08-29-2023,"103.92","104.36","103.37","103.53"
08-28-2023,"104.17","104.21","103.97","104.06"
08-25-2023,"104.10","104.45","103.74","103.98"
08-24-2023,"103.36","104.03","103.27","103.98"
08-23-2023,"103.58","103.98","103.30","103.56"
08-22-2023,"103.33","103.72","103.01","103.30"
08-21-2023,"103.43","103.50","103.14","103.30"
08-18-2023,"103.40","103.68","103.23","103.57"
08-17-2023,"103.48","103.60","103.06","103.57"
08-16-2023,"103.21","103.53","102.94","103.43"
08-15-2023,"103.15","103.27","102.82","103.21"
08-14-2023,"102.84","103.46","102.77","103.19"
08-11-2023,"102.62","102.91","102.42","102.84"
08-10-2023,"102.48","102.65","101.78","102.52"
08-09-2023,"102.55","102.58","102.29","102.49"
08-08-2023,"102.07","102.80","102.07","102.53"
08-07-2023,"101.99","102.38","101.97","102.05"
08-04-2023,"102.45","102.62","101.74","102.02"
08-03-2023,"102.59","102.84","102.37","102.54"
08-02-2023,"101.96","102.78","101.96","102.59"
08-01-2023,"101.87","102.43","101.85","102.30"
07-31-2023,"101.70","101.91","101.53","101.86"
07-28-2023,"101.69","102.04","101.36","101.62"
07-27-2023,"101.11","101.84","100.55","101.77"
07-26-2023,"101.32","101.44","100.86","100.89"
07-25-2023,"101.42","101.65","101.19","101.35"
07-24-2023,"101.05","101.43","100.89","101.35"
07-21-2023,"100.78","101.19","100.72","101.07"
