date,open,high,low,close,tickvol,vol,spread
2023.01.03,1827.53,1849.99,1823.52,1839.38,152967,0,1
2023.01.04,1838.40,1865.12,1836.18,1854.45,159063,0,1
2023.01.05,1854.57,1859.03,1825.11,1833.11,142593,0,0
2023.01.06,1831.71,1869.87,1831.31,1866.44,134903,0,3
2023.01.09,1866.30,1881.58,1866.28,1871.59,134130,0,3
2023.01.10,1870.37,1880.77,1867.72,1877.22,131819,0,4
2023.01.11,1877.08,1886.63,1867.15,1875.92,125476,0,3
2023.01.12,1876.92,1901.61,1875.30,1897.29,169713,0,3
2023.01.13,1895.68,1921.89,1892.32,1920.53,159316,0,4
2023.01.16,1921.91,1928.96,1910.85,1915.45,89889,0,5
2023.01.17,1916.35,1919.00,1903.82,1908.38,139659,0,5
2023.01.18,1908.17,1925.89,1896.59,1904.15,180769,0,1
2023.01.19,1903.17,1935.17,1900.98,1931.69,155763,0,3
2023.01.20,1932.09,1937.54,1920.69,1926.72,135927,0,3
2023.01.23,1924.21,1935.59,1911.40,1931.55,145512,0,4
2023.01.24,1930.96,1942.53,1917.17,1937.27,142790,0,5
2023.01.25,1937.34,1948.06,1919.88,1946.26,143474,0,4
2023.01.26,1946.42,1949.09,1918.62,1929.09,145329,0,4
2023.01.27,1928.89,1935.11,1916.59,1928.41,119232,0,3
2023.01.30,1926.75,1934.50,1920.69,1923.04,145027,0,3
2023.01.31,1922.46,1931.15,1900.82,1928.06,163473,0,5
2023.02.01,1927.46,1954.54,1920.54,1950.09,170166,0,4
2023.02.02,1952.93,1959.68,1911.30,1912.52,187315,0,4
2023.02.03,1913.03,1918.60,1861.44,1865.75,180164,0,3
2023.02.06,1864.25,1881.38,1863.07,1867.64,151684,0,4
2023.02.07,1867.52,1884.40,1864.99,1872.09,157514,0,1
2023.02.08,1872.76,1886.36,1869.03,1875.78,122134,0,5
2023.02.09,1874.41,1890.31,1858.91,1861.27,126362,0,5
2023.02.10,1862.10,1872.23,1852.80,1865.22,138244,0,4
2023.02.13,1863.96,1866.58,1850.47,1853.91,108265,0,5
2023.02.14,1853.49,1870.66,1843.29,1854.38,145835,0,3
2023.02.15,1853.50,1860.11,1830.45,1836.08,130104,0,3
2023.02.16,1836.47,1845.30,1827.64,1836.25,136199,0,4
2023.02.17,1835.29,1843.60,1818.90,1841.86,130134,0,3
2023.02.20,1841.20,1847.48,1837.29,1841.26,68257,0,5
2023.02.21,1842.18,1843.84,1830.23,1834.90,127575,0,4
2023.02.22,1834.74,1846.03,1823.55,1825.28,134842,0,4
2023.02.23,1825.37,1833.78,1817.46,1822.34,122548,0,4
2023.02.24,1822.73,1827.82,1808.93,1811.11,134980,0,4
2023.02.27,1811.96,1820.18,1806.69,1817.22,113341,0,4
2023.02.28,1817.19,1831.18,1804.69,1827.11,115922,0,5
2023.03.01,1826.78,1844.55,1823.08,1836.74,124004,0,5
2023.03.02,1837.53,1839.01,1829.99,1835.98,115034,0,5
2023.03.03,1836.15,1856.32,1836.15,1854.66,114629,0,6
2023.03.06,1853.73,1858.27,1845.12,1847.10,107557,0,5
2023.03.07,1846.03,1851.66,1812.69,1813.53,134152,0,1
2023.03.08,1814.00,1824.30,1809.41,1813.59,122849,0,3
2023.03.09,1814.42,1835.68,1811.94,1830.91,126652,0,3
2023.03.10,1830.88,1870.18,1827.75,1867.28,192706,0,0
2023.03.13,1893.72,1914.62,1871.55,1913.97,252479,0,1
2023.03.14,1912.21,1914.15,1895.42,1903.67,191638,0,5
2023.03.15,1904.21,1937.36,1885.75,1918.12,210492,0,0
2023.03.16,1919.03,1933.51,1907.58,1919.72,194242,0,2
2023.03.17,1919.72,1987.76,1918.26,1986.28,178110,0,2
2023.03.20,1985.88,2009.80,1965.83,1978.79,216068,0,1
2023.03.21,1978.60,1985.19,1935.44,1940.39,149310,0,0
2023.03.22,1939.66,1979.19,1934.28,1968.21,158264,0,1
2023.03.23,1967.56,2003.33,1964.41,1993.26,179926,0,2
2023.03.24,1992.68,2002.96,1975.15,1977.61,185486,0,1
2023.03.27,1976.25,1978.74,1944.04,1956.15,138077,0,4
2023.03.28,1957.21,1975.32,1949.15,1973.94,122855,0,4
2023.03.29,1973.91,1974.28,1958.68,1964.43,112121,0,4
2023.03.30,1963.90,1984.37,1955.22,1980.00,114518,0,2
2023.03.31,1979.94,1987.63,1966.89,1969.30,122385,0,4
2023.04.03,1966.26,1990.54,1949.76,1984.07,134886,0,3
2023.04.04,1985.30,2025.00,1977.01,2020.22,130246,0,4
2023.04.05,2021.06,2032.26,2009.90,2020.29,145545,0,3
2023.04.06,2021.01,2021.40,2000.84,2007.52,137560,0,5
2023.04.10,1997.88,2006.29,1981.72,1991.28,109236,0,4
2023.04.11,1991.17,2007.44,1988.82,2003.40,124039,0,3
2023.04.12,2003.16,2028.35,2001.39,2014.78,159603,0,1
2023.04.13,2014.35,2048.67,2013.95,2040.71,150007,0,1
2023.04.14,2040.16,2047.47,1992.40,2004.58,175897,0,2
2023.04.17,2001.00,2015.05,1981.18,1995.11,148394,0,2
2023.04.18,1994.70,2011.82,1991.19,2004.73,129533,0,1
2023.04.19,2005.23,2008.20,1969.18,1994.94,154579,0,1
2023.04.20,1994.10,2012.39,1990.50,2004.77,147152,0,3
2023.04.21,2004.03,2005.53,1971.59,1982.66,152418,0,0
2023.04.24,1982.23,1990.79,1974.13,1988.92,139790,0,2
2023.04.25,1991.40,2003.85,1976.09,1996.64,165216,0,2
2023.04.26,1996.84,2009.43,1983.37,1989.16,173676,0,2
2023.04.27,1989.44,2003.34,1974.22,1987.69,159824,0,3
2023.04.28,1987.51,1995.04,1976.15,1989.66,184872,0,3
2023.05.01,1989.84,2006.00,1977.09,1982.51,128313,0,5
2023.05.02,1981.68,2019.41,1978.49,2016.71,163652,0,2
2023.05.03,2016.03,2039.41,2007.78,2039.01,162415,0,1
2023.05.04,2060.95,2062.90,2030.38,2050.38,236239,0,2
2023.05.05,2049.19,2053.00,1999.51,2015.83,171591,0,2
2023.05.08,2016.14,2029.42,2014.07,2021.48,127624,0,4
2023.05.09,2020.72,2037.62,2019.51,2034.45,126405,0,1
2023.05.10,2034.15,2048.18,2021.55,2029.97,156618,0,2
2023.05.11,2029.74,2041.29,2011.04,2015.01,171611,0,2
2023.05.12,2015.15,2022.59,2000.89,2010.78,139234,0,4
2023.05.15,2008.45,2022.21,2008.45,2016.00,117860,0,4
2023.05.16,2016.28,2018.32,1985.19,1988.64,130365,0,4
2023.05.17,1988.13,1993.04,1974.98,1981.79,119225,0,4
2023.05.18,1982.16,1986.01,1951.98,1957.35,121762,0,4
2023.05.19,1958.22,1984.18,1954.02,1977.55,137125,0,3
2023.05.22,1978.08,1982.59,1968.87,1971.65,119644,0,5
2023.05.23,1971.64,1977.78,1954.24,1975.16,132916,0,5
2023.05.24,1976.20,1985.29,1956.71,1957.59,132332,0,5
2023.05.25,1958.27,1964.77,1938.84,1940.58,131933,0,3
2023.05.26,1941.01,1957.30,1936.76,1946.46,119957,0,2
